target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,70.29399916934646,56.028801033840615,0.14098153782335965,0.3754750828262239,0.4284724654308431,5.320349189735494e-05,83.0,,,,,,,
sspg,direct_si,full_sample,75.74822922264885,63.47556440020953,0.0025044578563360176,0.05004455870857425,0.0672916453120594,0.5455482271531458,83.0,,,,,,,
di,direct_mi,full_sample,1.0592911836223555,0.7971824048678019,0.11149872615363632,0.3339142497013642,0.34915453576985955,0.005036543341962726,63.0,,,,,,,
di,direct_si,full_sample,1.111224130207814,0.8437919905277462,0.02224360206963627,0.14914289144851692,0.10003960301703269,0.4353326060182491,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.226767517667047,0.8820337720513536,0.14656236412444812,0.3828346433180299,0.4987277688394722,2.003452609454859e-07,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.31050762347681,0.9974184183775112,0.026073107669534745,0.1614716930905508,0.16575824320684387,0.10467242570138478,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.24304897820953,35.99875742214357,0.005700100671866326,0.07549901106548523,0.024156193397458316,0.8143166363292416,97.0,,,,,,,
homa_b,direct_si,full_sample,51.37884590728613,36.34463659668652,0.0004232178685855681,0.020572259685934142,0.022959561062581506,0.823361599801946,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,75.00961168367512,8.446652607555308,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,77.30703577580582,15.103333886174013,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,75.9113631922805,6.914858263787416,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.2395052984009543,0.6752846428133888,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1525908285616271,0.11702665877129502,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.23187088959056973,0.5535764876386806,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.420955169692513,0.2803789469121654,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,-0.11302973213988085,0.2130830361768961,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.3551207412776581,0.2472929717617581,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.4419352152159643,0.2679636945267769,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,-0.05765665293355893,0.274536853239483,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.36359770673652764,0.21371344806462028,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0589608702023345,0.2907592164212926,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.1103182016323854,0.3297054165615942,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,1.1415471538862665,0.28434325447558023,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.2923102601056829,0.4475627156062227,,,,
