gold	param	spearman_r	p_value	n
sspg	si	-0.08510677611520905	0.8151715445415288	10
sspg	mi	-0.6565379871744699	0.039204386332556754	10
sspg	tau_m	0.13981827504641486	0.7000568732769904	10
sspg	sg	0.7598819296000807	0.010758005132716318	10
di	si	0.7142857142857143	0.1107871720116617	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	-0.5428571428571429	0.26570262390670557	6
di	sg	-0.48571428571428577	0.3287230320699709	6
homa_ir	si	0.25	0.5164895523012263	9
homa_ir	mi	-0.26666666666666666	0.4879222748387009	9
homa_ir	tau_m	0.3	0.4328453267094823	9
homa_ir	sg	0.6833333333333333	0.04244227208707231	9
homa_b	si	0.43333333333333335	0.2439524358800516	9
homa_b	mi	0.65	0.05807305801714864	9
homa_b	tau_m	-0.19999999999999998	0.6059012741795533	9
homa_b	sg	-0.2333333333333333	0.5456987782182727	9
