target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,68.86830207980417,54.70715458280188,0.1754732583776618,0.41889528330796705,0.41630538010842866,9.060548569725632e-05,83.0,,,,,,,
sspg,direct_si,full_sample,74.44673904979496,62.38888720598524,0.03648750130342737,0.1910170183607401,0.1809945798479276,0.10152885335104944,83.0,,,,,,,
di,direct_mi,full_sample,1.011565362641478,0.7536934810986737,0.18975708975194505,0.4356111680753088,0.4157355959352263,0.0007027681183123297,63.0,,,,,,,
di,direct_si,full_sample,1.1225542373357993,0.8565646724064936,0.002203430451003796,0.04694071208440883,0.001728131338106131,0.9892752011508187,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.2076592807537223,0.85647755574322,0.17294174460327771,0.4158626511280774,0.46759591046081184,1.37269605736068e-06,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.2840897341871917,0.9518974926361532,0.06494317937765015,0.2548395169074943,0.33672375818473294,0.0007451593443771165,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.38851822015239,36.455208755750434,4.683224745694048e-05,0.006843409052279199,0.03329530848250651,0.7461201260028097,97.0,,,,,,,
homa_b,direct_si,full_sample,50.81185203267192,35.49906228159331,0.022363247149769228,0.1495434624106622,0.2085953706390208,0.040324726964051795,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,73.23898053584378,8.197392438199136,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,77.19933249154434,11.186288505942235,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,75.79220266877584,8.692809041599018,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.15134778384454634,0.5191161057018168,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.18173257688893804,0.2116263761164639,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.23285673339810858,0.5543601851392431,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.4137457751547567,0.3314279492332247,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.1535842817717798,0.3274115222783619,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.37868660935314774,0.3500490555795703,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.42957398559776533,0.3050513937940716,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.14891698022587835,0.31188391649583835,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.3926878275374444,0.29937107183826106,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0088510999862628,0.281140037084862,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.1158514538096076,0.335418207597571,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0635960360526093,0.3034470629802387,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.18981694419082012,0.45741888543002157,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.3627779805811276,0.36285219505404936,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,-0.30983621372668124,0.5183458755757154,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.405596775747584,0.15539564187687258,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.06692983034707621,0.33499462386918527,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.35454194496564606,0.2385735806492934,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.351048951048951,0.20634326336903294,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.004595404595404598,0.34525890773381585,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.30899100899100895,0.23566084188759331,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.216557200681044,0.2262319204517682,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2885315592762183,0.252882213680382,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2734619520895074,0.23176862076381016,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,0.09013274418561071,0.1811807041460847,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,0.000905461253377493,0.08307668994847198,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,-0.016546544368378036,0.2879884666776458,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.4300771430147896,0.11796651783084305,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.27254236560349315,0.11571826129220632,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.361974924651896,0.1377706576716592,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.4086259812371512,0.16689629660654406,,,,
