gold	param	spearman_r	p_value	n
sspg	si	-0.08510677611520905	0.8151715445415288	10
sspg	mi	-0.6565379871744699	0.039204386332556754	10
sspg	tau_m	-0.6443798763008685	0.04431151432143616	10
sspg	sg	-0.44985010232324774	0.1920756967225873	10
di	si	0.5428571428571429	0.26570262390670557	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	0.2571428571428572	0.6227871720116618	6
di	sg	-0.08571428571428573	0.8717434402332361	6
homa_ir	si	0.3666666666666667	0.33173980143301496	9
homa_ir	mi	-0.26666666666666666	0.4879222748387009	9
homa_ir	tau_m	-0.5833333333333334	0.09918581647988323	9
homa_ir	sg	-0.21666666666666667	0.5755148957119259	9
homa_b	si	0.5499999999999999	0.12497678418833198	9
homa_b	mi	0.65	0.05807305801714864	9
homa_b	tau_m	-0.18333333333333335	0.6368198117628943	9
homa_b	sg	0.5499999999999999	0.12497678418833198	9
