target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,69.9132411802147,55.921827537053005,0.1502623388087555,0.3876368646152679,0.40717219267917876,0.00013335143198128953,83.0,,,,,,,
sspg,direct_si,full_sample,72.23029379333119,59.60408861601615,0.09300528450843892,0.3049676778093685,0.36824591798072076,0.0006143407924678105,83.0,,,,,,,
di,direct_mi,full_sample,1.0416167153539997,0.7911509315361247,0.14090098592790423,0.3753678008672205,0.33552149965813344,0.007183870375374547,63.0,,,,,,,
di,direct_si,full_sample,1.11713146619178,0.8448830110999098,0.011820343592142346,0.10872140356033878,0.277365079766034,0.027749539098645158,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.2233862209655066,0.8772111772934003,0.15126048158952587,0.3889222050610136,0.4680890233179184,1.3334241062250484e-06,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.30620974232602,0.9960689130695608,0.03245072523119774,0.18014084831373586,0.3099247181105155,0.0020064422097812616,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.2837113319208,36.05692083458252,0.004121482059951109,0.06419876992553039,0.05721480537416502,0.5777653812522865,97.0,,,,,,,
homa_b,direct_si,full_sample,50.64126127659704,35.79834275689655,0.028916672297038648,0.17004902909760689,0.2031119015879919,0.0460060401862509,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,74.19222090137397,7.833458697804312,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,75.60154816185009,10.674453321559117,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,71.38604263776344,5.802957977656704,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1981044236568286,0.6035190993371143,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.134507618553995,0.20370037886587986,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.08766824695859335,0.43503431565272793,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.40466418473734755,0.29818078333659437,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.2541154212692978,0.35120356744778675,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.4040993161803595,0.3068638586732381,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.4322634384486336,0.2774490314925679,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.27124244997114394,0.260027643081803,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.4367085692499839,0.24817970930338032,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0415207427362465,0.2826443159256578,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0996997750660957,0.37312554995549707,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,1.060374248722143,0.35974088740672494,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.2730803863832408,0.4913435731899161,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.27332890614229177,0.22461879590779052,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,-0.29461262152650936,0.5051966717526193,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.31903900964370363,0.21782215048147285,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.23049644140589404,0.33438134392807317,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.3422686033916691,0.2304540008942552,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.2441558441558441,0.2760171966179815,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.2861138861138861,0.3099083052155254,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.28251748251748254,0.26209578955030377,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2361843028576334,0.22325044355405074,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.3107715705642378,0.24059382307772456,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.288172994919569,0.21047861334832232,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,0.059023317471740236,0.18614125800012218,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,-0.038819742210608466,0.07751128067635323,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,-0.023031625535551003,0.1643858689478875,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.4056790244351737,0.13501237974744526,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.1734895091732809,0.18337999649421108,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.3102844253634319,0.12431574297009089,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.41917158487731065,0.2024924601374614,,,,
