gold	param	spearman_r	p_value	n
sspg	si	-0.21884599572482327	0.5435509174040241	10
sspg	mi	-0.6443798763008685	0.04431151432143616	10
sspg	tau_m	-0.4012176588288426	0.25049600352532764	10
sspg	sg	0.686933264358473	0.028205560771255266	10
di	si	0.5428571428571429	0.26570262390670557	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	0.48571428571428577	0.3287230320699709	6
di	sg	-0.48571428571428577	0.3287230320699709	6
homa_ir	si	-0.3	0.4328453267094823	9
homa_ir	mi	-0.26666666666666666	0.4879222748387009	9
homa_ir	tau_m	0.016666666666666666	0.9660548039946861	9
homa_ir	sg	0.2833333333333333	0.46003032896571994	9
homa_b	si	0.11666666666666665	0.7650079429261462	9
homa_b	mi	0.65	0.05807305801714864	9
homa_b	tau_m	0.7333333333333334	0.02455415007146968	9
homa_b	sg	-0.5499999999999999	0.12497678418833198	9
