target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,68.32757393381577,56.418158739904236,0.1883701790086263,0.4340163349559858,0.47706732130440366,5.12012819410593e-06,83.0,,,,,,,
sspg,direct_si,full_sample,70.85897939374973,56.614185421202905,0.12711751426339724,0.3565354319887398,0.38451768868800495,0.0003319185365908893,83.0,,,,,,,
di,direct_mi,full_sample,1.0833178958552594,0.8137387384958437,0.07073586804339305,0.2659621552841334,0.336289558030625,0.007044429732447695,63.0,,,,,,,
di,direct_si,full_sample,1.0674590953100986,0.8195230725449535,0.09774390742564154,0.3126402204221815,0.28924598271551366,0.02149181005714373,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.1730523213857758,0.8108365043391391,0.21966332083465534,0.4686825373690074,0.5846280285474337,3.229470087719657e-10,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.216014492996053,0.858353720946657,0.1614581221851139,0.40181851896734344,0.4992734804013368,1.933652670149123e-07,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.157910223123054,36.24556140199435,0.009001353533950818,0.09487546328714741,0.09903118806546465,0.3345072606484427,97.0,,,,,,,
homa_b,direct_si,full_sample,51.37758499520243,36.52230572809916,0.0004722794212593806,0.02173199073392424,0.04671468538076792,0.6495624782007428,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,72.86113552454421,5.787250896766641,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,75.41363074805852,8.038140486548038,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,74.62137815018657,7.2233481112991464,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.17007029441156613,0.6231842089741224,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.23094692401951694,0.6009896362062194,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.19990383599639966,0.5693649148261212,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.44190396094393536,0.27830859358491605,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.3828362430953405,0.3062512554561982,,,,
