gold	param	spearman_r	p_value	n
sspg	si	-0.735565707852878	0.01532345637780498	10
sspg	mi	-0.10334394242561099	0.7763340602409095	10
sspg	tau_m	0.5896683773696627	0.07278593695976274	10
sspg	sg	-0.6990913752320743	0.024470990757150354	10
di	si	0.48571428571428577	0.3287230320699709	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	-0.48571428571428577	0.3287230320699709	6
di	sg	0.48571428571428577	0.3287230320699709	6
homa_ir	si	-0.3666666666666667	0.33173980143301496	9
homa_ir	mi	-0.31666666666666665	0.4063970144863861	9
homa_ir	tau_m	0.41666666666666663	0.26458604674749614	9
homa_ir	sg	-0.35	0.35581957250178897	9
homa_b	si	0.5333333333333333	0.13922686754397814	9
homa_b	mi	0.08333333333333334	0.831214097710308	9
homa_b	tau_m	-0.7	0.03576957497026169	9
homa_b	sg	0.6166666666666666	0.07692880993776309	9
