target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,75.81215605346337,63.6780324180599,0.0008200980499761812,0.02863735410222292,0.03288997266188489,0.767858281303657,83.0,,,,,,,
sspg,direct_si,full_sample,72.62301292128252,59.42217463739542,0.08311573605788547,0.2882979987060014,0.3813578157958162,0.00037501235041288955,83.0,,,,,,,
di,direct_mi,full_sample,1.0952449762238723,0.8104493610387628,0.05016125940458782,0.22396709446830815,0.20048723704445154,0.11514225478192659,63.0,,,,,,,
di,direct_si,full_sample,1.0478150513548183,0.802025422814412,0.1306461043990902,0.36145000262702914,0.4149435357385943,0.0007212030084457339,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.325803316665491,1.0178445605074287,0.0032059045173749023,0.0566207074961914,0.09696571222143245,0.3447354151061689,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.2770299140945631,0.9495760808836621,0.07519664681230831,0.27422007003919885,0.41568098886463406,2.294010978067976e-05,97.0,,,,,,,
homa_b,direct_mi,full_sample,50.990106452337024,36.31278631217376,0.01549186804093805,0.12446633296172034,0.20978542807095876,0.039172381214671544,97.0,,,,,,,
homa_b,direct_si,full_sample,51.20158240337513,35.90948475105775,0.007308651684354239,0.08549065261392043,0.05455854458685605,0.5955788294747713,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,76.53563693385982,14.390172803736819,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,75.70747574642333,9.759272532306909,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,73.1046694978393,7.501635479181965,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1317511052944395,0.10593253195974821,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.18246968876208708,0.40848372414631684,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.2016950139855974,0.7132207079972137,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,-0.05010124229161959,0.15846270582095334,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.3554549247135268,0.2799356733670224,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.42952365166591705,0.3323372429872367,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,-0.08616195200171471,0.13014404437715896,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.35729000026718927,0.3214994858768022,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.438133136168047,0.2969086975422791,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0945417424277892,0.3249716765885545,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0599659214961634,0.29498950473286506,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0903881804188775,0.36411706082700673,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.33821336718746947,0.417422458926474,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.2850402438430293,0.4388409328868225,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,-0.28705475176104034,0.39694300348843414,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.3531968831501143,0.10228645444746995,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.3507500096482693,0.21163882776991697,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.47246200712630876,0.13304478245727142,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.3055944055944056,0.07411173597098727,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.320979020979021,0.19957019728518446,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.38241758241758245,0.11957361750045742,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.336450127737736,0.2305281561951797,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2799925857091612,0.24901915321021578,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2309383724680827,0.22334673793475904,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,-0.08468719063609612,0.08425035126373287,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,0.0008420225869474995,0.16863761857226972,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,0.0749961333671492,0.12676259012285165,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.08177997790621327,0.12037666000542985,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.2660377063876703,0.1710392865284685,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.4061525361955008,0.0934899941648991,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.10435578192889823,0.09714286866928928,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.33874374877391034,0.17718029822036732,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.44764087638676725,0.0774073048051936,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,52.01430474968257,6.769852745347279,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,50.9656321202102,7.1146132685437635,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,51.462070993563415,6.932255907587989,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,-0.0689943140588403,0.11837372437851258,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,-0.019105554692414862,0.01907923583325628,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,-0.051128295187217176,0.1680900385291884,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.16093522867033871,0.2515354662119286,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.0878215107365504,0.048104711139612295,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.18367175155919072,0.17973140881659375,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.22972431077694236,0.2280430510737126,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.07152882205513784,0.06969718882449186,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.2806516290726817,0.13830021767010778,,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,rmse,73.95283788553193,7.158140856473294,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,mae,60.75517686252806,6.5039135996682775,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,r2,-0.24803331788814426,0.794548159102154,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,pearson_r,0.4587905724468618,0.3161786549117827,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,spearman_r,0.45415461650387134,0.3209938992740961,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,rmse,1.0503732927837222,0.32295261811312936,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,mae,0.8376679407308094,0.20591410471836522,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,r2,-0.2102053968422249,0.3556385682160144,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,pearson_r,0.4987985302993113,0.15142974180791557,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,spearman_r,0.48301698301698304,0.13341732209929064,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,rmse,1.20456677407994,0.24391135311125595,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,mae,0.8454322511397082,0.07366203630394942,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,r2,0.1204688877812563,0.13143997095996193,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,pearson_r,0.4466102699716454,0.11567527393751761,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,spearman_r,0.5040819791436595,0.10087127208334756,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,rmse,51.07944964652067,7.113988104911913,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,mae,36.50584598815099,4.405374121179464,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,r2,-0.031583851906954966,0.14430018068642295,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,pearson_r,0.1874399436819783,0.2100943411439537,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,spearman_r,0.3164912280701754,0.15695110476235127,5.0,,,
sspg,ridge_6d,leave_one_dataset_out,69.52328092617181,58.99986156697584,0.1496697167890093,0.44399133498201243,0.4537121982743941,0.009102474671054926,32.0,,,,,D1,0.010909705135268566,
sspg,ridge_6d,leave_one_dataset_out,79.6651334809039,71.49065503324559,-0.1981263075600468,0.10832262603626261,0.22562758457238674,0.2223020016895038,31.0,,,,,D2,0.5618866931760265,
sspg,ridge_6d,leave_one_dataset_out,66.35737326480984,49.44916137684353,0.3088850020238727,0.8042355641175434,0.7293233082706766,0.00026350691768615617,20.0,,,,,D4,1.9227765656739488e-05,
di,ridge_6d,leave_one_dataset_out,0.8468370603195101,0.6945554285918623,0.22327644343147635,0.544659167884481,0.6131427026026448,0.00019066387386076125,32.0,,,,,D1,0.0012684662184327287,
di,ridge_6d,leave_one_dataset_out,1.214482297709519,0.8854907188366625,0.06729676113654226,0.26985332020934555,0.4326612903225807,0.0150573150714796,31.0,,,,,D2,0.14206853195808344,
homa_ir,ridge_6d,leave_one_dataset_out,1.0934149609270616,0.821576299279767,0.1564098726626072,0.4183753762205423,0.46411878116289884,0.0074553132351685885,32.0,,,,,D1,0.017172245969461115,
homa_ir,ridge_6d,leave_one_dataset_out,1.3767235993422322,0.9740670630178752,0.0871033060135824,0.3375340501718831,0.4642010431484115,0.0038020508059312948,37.0,,,,,D2,0.04104601440444547,
homa_ir,ridge_6d,leave_one_dataset_out,1.2811967853545805,1.049146348402624,-0.09141496318450959,0.4231592071600303,0.5531682000618499,0.0022643391797865114,28.0,,,,,D4,0.024854639722362987,
homa_b,ridge_6d,leave_one_dataset_out,60.09294436946838,43.79487285576843,-0.16327514142033217,-0.4325466896517397,-0.45784457478005863,0.00841486751772789,32.0,,,,,D1,0.013416212906463134,
homa_b,ridge_6d,leave_one_dataset_out,51.92534831458216,32.86400957213306,-0.17545478893833666,-0.08575746106361574,-0.15481270744428638,0.3602438817611109,37.0,,,,,D2,0.6137909240223797,
homa_b,ridge_6d,leave_one_dataset_out,54.93960510470775,41.22383761095547,-0.4563762510089149,-0.22096833365070265,-0.2898987242484373,0.13454692523990544,28.0,,,,,D4,0.2584832598276474,
sspg,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_sspg.csv
di,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_di.csv
homa_ir,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_homa_ir.csv
homa_b,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_homa_b.csv
