   gold param  spearman_r  p_value  n
   sspg    si   -0.735566 0.015323 10
   sspg    mi   -0.103344 0.776334 10
   sspg tau_m    0.589668 0.072786 10
   sspg    sg   -0.699091 0.024471 10
     di    si    0.485714 0.328723  6
     di    mi    0.485714 0.328723  6
     di tau_m   -0.485714 0.328723  6
     di    sg    0.485714 0.328723  6
homa_ir    si   -0.366667 0.331740  9
homa_ir    mi   -0.316667 0.406397  9
homa_ir tau_m    0.416667 0.264586  9
homa_ir    sg   -0.350000 0.355820  9
 homa_b    si    0.533333 0.139227  9
 homa_b    mi    0.083333 0.831214  9
 homa_b tau_m   -0.700000 0.035770  9
 homa_b    sg    0.616667 0.076929  9
