target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,73.13596149480026,61.22324339937707,0.0701177782077228,0.26479761745099384,0.26626915627068243,0.014968621425554784,83.0,,,,,,,
sspg,direct_si,full_sample,68.71512245080157,55.01880331011208,0.17913706988578582,0.4232458740327966,0.4322412174849819,4.492752822497895e-05,83.0,,,,,,,
di,direct_mi,full_sample,1.0712254179137108,0.809917004380472,0.09136580365791724,0.302267768142595,0.3625235518160417,0.0035019828374432322,63.0,,,,,,,
di,direct_si,full_sample,1.0335182730906074,0.7791091555742564,0.15420783351720402,0.3926930525451061,0.3751245094897322,0.0024512688721012037,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.2682915591570993,0.9307810334127882,0.08780968111824372,0.2963269834460549,0.3969755744850588,5.678193039820963e-05,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.228311575525917,0.8746041446036994,0.1444126717659595,0.3800166730104812,0.47995003124085467,6.542528671907687e-07,97.0,,,,,,,
homa_b,direct_mi,full_sample,50.982439173939866,36.444128705215896,0.015787922743742855,0.12565000096992798,0.196780270057847,0.05337551502289016,97.0,,,,,,,
homa_b,direct_si,full_sample,51.38083781450405,36.41462844049019,0.0003457111528221146,0.018593309356379147,-0.0105790188286637,0.9180872464822596,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,75.88336673993467,10.234328572886243,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,73.56296154022746,7.3549453699626,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,73.23748880257024,3.750750792940921,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.18018653436882495,0.386493626985333,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.20023155334345946,0.6631582071714307,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.18500617355078014,0.6260843445025076,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.31437775700991477,0.17225308992062574,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.4341702793439934,0.3036122761320729,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.4030067750907336,0.2688662590602656,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.2994664842468518,0.20907934108434093,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.42791654055962314,0.2784893906685528,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.3995183620751938,0.30097360189885713,,,,
