target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,70.32711107240038,56.50559177522799,0.14017206800883764,0.3743956036184689,0.3966742760938341,0.00020513846780091495,83.0,,,,,,,
sspg,direct_si,full_sample,75.83463032885246,63.74468397048794,0.000227602758164136,0.015086509144400687,0.025425953969704818,0.8195177077195883,83.0,,,,,,,
di,direct_mi,full_sample,1.0576979614660933,0.795873240320641,0.11416940894400751,0.3378896401844783,0.32661682290205873,0.008985557221196904,63.0,,,,,,,
di,direct_si,full_sample,1.1229365911308107,0.8621263636578466,0.0015235946520562038,0.039033250595404176,-0.049371752256726555,0.700783289972913,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.213252767630617,0.8527583290373225,0.16526266994664673,0.4065251160096285,0.5113646076575894,8.673158520893558e-08,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.3268868989782543,1.0269322269127708,0.0015758741419841238,0.039697281292029485,0.014701337979870012,0.8863517290373962,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.34930452241946,36.26705891341718,0.0015723442363290152,0.039652796072018534,-0.006219858180183878,0.95178533814422,97.0,,,,,,,
homa_b,direct_si,full_sample,49.647082573125964,35.21010834379646,0.06667062137325364,0.258206547889967,0.24668378336397348,0.014857778267451651,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,74.59346876834647,8.889806323612405,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,77.11657354624177,14.390761653794755,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,75.27370347120393,8.489841117690107,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.19452570924815515,0.5553583277841289,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.14733449440122165,0.0882498411056674,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1977375017660724,0.48940053255190497,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.39610117233928394,0.3329264684064544,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,-0.20306430964462696,0.09000599235590447,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.3693918229726914,0.3404360452627329,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.3939479778763398,0.2983661063034363,,,,
