gold	param	spearman_r	p_value	n
sspg	si	-0.5835893219328621	0.07653771742823341	10
sspg	mi	-0.7538028741632801	0.011794786289983676	10
sspg	tau_m	-0.498482545817653	0.14251791767625296	10
sspg	sg	0.5957474328064633	0.0691558441520855	10
di	si	0.7714285714285715	0.07239650145772594	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	0.2571428571428572	0.6227871720116618	6
di	sg	-0.6	0.20799999999999982	6
homa_ir	si	-0.43333333333333335	0.2439524358800516	9
homa_ir	mi	-0.3	0.4328453267094823	9
homa_ir	tau_m	-0.016666666666666666	0.9660548039946861	9
homa_ir	sg	0.16666666666666669	0.668231040071504	9
homa_b	si	0.3666666666666667	0.33173980143301496	9
homa_b	mi	0.41666666666666663	0.26458604674749614	9
homa_b	tau_m	0.43333333333333335	0.2439524358800516	9
homa_b	sg	-0.11666666666666665	0.7650079429261462	9
