gold	param	spearman_r	p_value	n
sspg	si	-0.35258521533443743	0.31766237942092473	10
sspg	mi	-0.6139845991168652	0.05898096236903695	10
sspg	tau_m	-0.1580554413568168	0.6627622972444478	10
sspg	sg	-0.32218993815043423	0.36392707596751084	10
di	si	0.3142857142857143	0.5440932944606414	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	-0.14285714285714288	0.7871720116618075	6
di	sg	-0.48571428571428577	0.3287230320699709	6
homa_ir	si	0.3	0.4328453267094823	9
homa_ir	mi	-0.65	0.05807305801714864	9
homa_ir	tau_m	0.25	0.5164895523012263	9
homa_ir	sg	0.18333333333333335	0.6368198117628943	9
homa_b	si	0.43333333333333335	0.2439524358800516	9
homa_b	mi	0.5333333333333333	0.13922686754397814	9
homa_b	tau_m	0.13333333333333333	0.7323675052362975	9
homa_b	sg	0.38333333333333336	0.30849527238037144	9
