target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,65.11583291656696,52.093206363152426,0.2628783037978941,0.5127165920836716,0.46602351305662104,8.997358192527055e-06,83.0,,,,,,,
sspg,direct_si,full_sample,75.53322032710739,62.80604792188266,0.00815913872104368,0.09032795094013635,0.19852610054545325,0.07198969074666024,83.0,,,,,,,
di,direct_mi,full_sample,1.040247827556348,0.793004429916998,0.14315754995284768,0.3783616655434811,0.3449782183694364,0.005624539664058553,63.0,,,,,,,
di,direct_si,full_sample,1.1018980455443352,0.8521527286350954,0.03858661344458436,0.19643475620310297,0.18176581421496846,0.1539438572026635,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.1968947260579206,0.8370366840799691,0.1876201155616739,0.43315137719008745,0.5469213320740193,6.793047383254115e-09,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.2985351392510385,0.9827325950728393,0.043786947986432456,0.2092533105745933,0.24984384760065317,0.013585053623103468,97.0,,,,,,,
homa_b,direct_mi,full_sample,50.874023010954616,35.998651408482665,0.019969403388890528,0.14131313947715732,0.1728541982632496,0.09043322878622576,97.0,,,,,,,
homa_b,direct_si,full_sample,50.92746162710544,35.09210496337307,0.01790945288578405,0.13382620403263373,0.18125034931620398,0.07561523736937206,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,69.79867228138411,3.577446866286873,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,79.17485596141235,12.934008772410829,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,70.10956596369667,3.904219923588813,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.11601394657549355,0.6875586805999657,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.2344274017624251,0.2126588451061309,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.06776465336458862,0.5081463168988645,,,,
