gold	param	spearman_r	p_value	n
sspg	si	-0.56535215562246	0.0885368480246987	10
sspg	mi	-0.5896683773696627	0.07278593695976274	10
sspg	tau_m	-0.6079055436800646	0.06225488170893071	10
sspg	sg	-0.6200636545536659	0.05582263340222192	10
di	si	0.6	0.20799999999999982	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	0.48571428571428577	0.3287230320699709	6
di	sg	0.48571428571428577	0.3287230320699709	6
homa_ir	si	-0.016666666666666666	0.9660548039946861	9
homa_ir	mi	-0.41666666666666663	0.26458604674749614	9
homa_ir	tau_m	-0.06666666666666667	0.8646897846262037	9
homa_ir	sg	-0.09999999999999999	0.797971695234851	9
homa_b	si	0.6	0.0876228290414024	9
homa_b	mi	0.7	0.03576957497026169	9
homa_b	tau_m	0.6333333333333333	0.06708578689234565	9
homa_b	sg	0.6833333333333333	0.04244227208707231	9
