target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,67.03923554379662,53.08032858894349,0.2186887086236996,0.4676416455189802,0.4544128173132298,1.5941553809169787e-05,83.0,,,,,,,
sspg,direct_si,full_sample,74.41266084031218,61.695571301322865,0.03736940066076777,0.19331166716152426,0.30985650593303354,0.004363245551596589,83.0,,,,,,,
di,direct_mi,full_sample,1.0409818601674277,0.8025481353887712,0.14194789166163602,0.3767597266980977,0.34699437159722685,0.005333539758556781,63.0,,,,,,,
di,direct_si,full_sample,1.0850408746980043,0.8179359032802203,0.06777759385029292,0.26034130262077393,0.33868974044466127,0.006623834151801447,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.1977617266116298,0.8284002115965291,0.18644275401905286,0.43179017360177213,0.524685229637561,3.4563439820534495e-08,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.2694565856502278,0.9534444553720418,0.0861330729603671,0.29348436578523557,0.3843979092097944,0.00010138153148280323,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.291585183250135,36.49247341418523,0.003815653906964145,0.06177097948846436,0.07230420761890285,0.48155470325282446,97.0,,,,,,,
homa_b,direct_si,full_sample,50.897918489786065,35.40695878353481,0.019048548352644135,0.13801647855471544,0.1138444443867694,0.2668625840080495,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,71.93133898797443,5.240860185217297,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,78.08567698141592,10.382888936344,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,71.47402995935836,4.883940384407915,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1630874484880056,0.6658218011203039,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.24810411275298874,0.39911474124194724,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.0887517104917022,0.4586087559796695,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.453956727444806,0.3078335738644903,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.27517513911180724,0.3032299971655965,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.4245144082173201,0.31483462803217865,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.471602658123414,0.27344329978691095,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.3056546649222738,0.2900806629870178,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.38640205432764113,0.29131932881731903,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0342456689921344,0.2910733745039391,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0761727647298305,0.3281064500968858,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0640739053882804,0.3077832614804182,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.23526976702676167,0.4420308793931548,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.2581399544197329,0.2661695943338163,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,-0.3043388720161876,0.4922797668184933,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.3258981885106215,0.186960949207196,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.25673784587947135,0.21031985134339135,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.35444368924444936,0.22462879047261722,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.25124875124875123,0.22087842053809725,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.23016983016983014,0.1825263677780735,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.26563436563436565,0.237440997233919,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2051402801858504,0.22142768391639853,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.291526063376952,0.19175222730092242,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2855639038787492,0.18924388536411632,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,0.1032345176432509,0.19525768966146098,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,-0.021133491938317504,0.07715820920056427,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,-0.031136449807730626,0.21576282141086822,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.4399578587786793,0.1275327725591628,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.30405265157710465,0.11523215790816593,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.3577343642391395,0.0872125112473967,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.47904523213023714,0.1694699139484628,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.35553850063064385,0.17343804856246997,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.40374638593590007,0.07578642992131254,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,51.28472807764814,7.149754691177555,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,50.80952946002697,6.695123233370177,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,52.31988820984179,7.030528500499641,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,-0.03199786995560931,0.024253804978789494,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,-0.01538591699988039,0.022515677988986932,,,,
