target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,74.83382724885746,62.61836373146944,0.02644182455215649,0.16260942331905726,0.21852463164053487,0.04717577777085153,83.0,,,,,,,
sspg,direct_si,full_sample,70.3387653760075,59.22931547599031,0.13988707049053795,0.3740147998282125,0.36063492845634576,0.0008105374101766171,83.0,,,,,,,
di,direct_mi,full_sample,1.003682838886091,0.7270101744183574,0.3260319263557844,0.570992054546978,0.6457233033265621,2.5158984421571228e-11,85.0,,,,,,,
di,direct_si,full_sample,1.206617784943606,0.9365771607642086,0.025939860212210064,0.16105856143714475,0.34999193860071126,0.001025284091925998,85.0,,,,,,,
homa_ir,direct_mi,full_sample,1.3274587255772523,1.0231956876511075,0.0007151399017687465,0.026742099800935254,0.010743285446828085,0.9168198490770612,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.270350100831961,0.9306626618451347,0.0848461579905917,0.2912836383846279,0.37000558862037775,0.00019133858229225008,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.06574355928436,36.35405395223179,0.012568925461705072,0.11211121916072901,0.13416746937085858,0.19012863570891547,97.0,,,,,,,
homa_b,direct_si,full_sample,51.26065506002448,36.43917649197296,0.005016740370986095,0.07082895150279984,0.1344501901972306,0.18918804241461948,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,76.2534684417371,14.069592832286162,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,73.71750281964253,10.26946475712843,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,67.31246500892784,7.437345463519844,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.12483542100958074,0.11029421401054074,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1843957159331709,0.6298792613800163,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.027713036496206756,0.6448288186388704,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.17307972180929657,0.1679849855687269,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.411487783415138,0.21584174969951012,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.5022612401909454,0.27440369205666487,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.22597036099960857,0.14581864943323983,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.38085629641619717,0.25452218942107635,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.47972192058397,0.2729673040745931,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,85.0,rmse,1.026351903191584,0.19207954254386292,,,,
di,single_si,5fold_single_vs_joint,,,,,,,85.0,rmse,1.1923002941760494,0.26569103846032804,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,85.0,rmse,0.9385572764907542,0.2130456684280086,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,85.0,r2,0.2028977059376202,0.0860208452862099,,,,
di,single_si,5fold_single_vs_joint,,,,,,,85.0,r2,-0.05671028024975566,0.05287469832725357,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,85.0,r2,0.33623056505584425,0.11920987626063102,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,85.0,pearson_r,0.5969075766622811,0.0776016295827312,,,,
di,single_si,5fold_single_vs_joint,,,,,,,85.0,pearson_r,0.1457114633540438,0.07199877743294841,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,85.0,pearson_r,0.6468261805701891,0.06532280395388565,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,85.0,spearman_r,0.6774509803921569,0.12755086583643702,,,,
di,single_si,5fold_single_vs_joint,,,,,,,85.0,spearman_r,0.3612745098039216,0.07797970437557528,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,85.0,spearman_r,0.7147058823529413,0.1366020889992326,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.3498113271187429,0.2295477747870602,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2774937501029993,0.26743769293918235,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.1801350279791056,0.19012722713582966,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,-0.10805152692520434,0.08909033142939554,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,0.01364758836800426,0.15001676750716555,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,0.11051166503980125,0.2765286781431407,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,-0.17701643510237897,0.12007060331742338,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.29528846517383456,0.23148715560128155,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.48602965468123316,0.13127306845696116,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,-0.20879995688280023,0.17942948790560423,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.35094117783003337,0.20747735302530412,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.5298634835968576,0.1080040061466444,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,51.52346823572094,6.852763913596671,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,51.011265629725514,7.012723881052058,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,52.73578469976063,6.264645766138828,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,-0.04622112064642443,0.091576796422422,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,-0.021499485196727487,0.011412738307071199,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,-0.11035450517396972,0.1730287764751248,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.1290981337832382,0.22404524826000638,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.0576690732996044,0.007007597180437175,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.08262018611067233,0.25602201741983116,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.197593984962406,0.22741620967686385,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.11538847117794485,0.09197777820741176,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.11197994987468674,0.23820619496120107,,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,rmse,65.98556443403622,6.811142279201402,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,mae,54.48574982138098,6.118244906101597,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,r2,0.029494401531648905,0.5600919198747347,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,pearson_r,0.5305938553331091,0.2697023356681912,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,spearman_r,0.5159812886673587,0.2639114654583963,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,85.0,rmse,0.9258931489940423,0.2177893801015091,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,85.0,mae,0.7038547863114359,0.0876748150707935,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,85.0,r2,0.36130255440215325,0.07841813181367815,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,85.0,pearson_r,0.6568056465414049,0.05518402516288607,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,85.0,spearman_r,0.7514705882352942,0.09981961816548676,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,rmse,1.1456620998486424,0.24300558069190936,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,mae,0.8252171585310398,0.09354793993827351,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,r2,0.18091534520044789,0.23639388017198676,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,pearson_r,0.52193220626898,0.13333504662178747,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,spearman_r,0.5888108520179102,0.08069775743523636,5.0,,,
