   gold param  spearman_r  p_value  n
   sspg    si   -0.314286 0.544093  6
   sspg    mi    0.771429 0.072397  6
   sspg tau_m    0.314286 0.544093  6
   sspg    sg    0.434828 0.388865  6
     di    si   -0.238095 0.570156  8
     di    mi    0.571429 0.138960  8
     di tau_m    0.610789 0.107721  8
     di    sg    0.155691 0.712762  8
homa_ir    si   -0.321212 0.365468 10
homa_ir    mi    0.575758 0.081553 10
homa_ir tau_m    0.389060 0.266478 10
homa_ir    sg    0.182372 0.614068 10
 homa_b    si   -0.284848 0.425038 10
 homa_b    mi    0.539394 0.107593 10
 homa_b tau_m    0.310032 0.383320 10
 homa_b    sg    0.176293 0.626123 10
