gold	param	spearman_r	p_value	n
sspg	si	0.5428571428571429	0.26570262390670557	6
sspg	mi	-0.942857142857143	0.004804664723032055	6
sspg	tau_m	-0.942857142857143	0.004804664723032055	6
sspg	sg	0.6571428571428573	0.15617492711370237	6
di	si	-0.5428571428571429	0.26570262390670557	6
di	mi	0.4285714285714286	0.3965014577259474	6
di	tau_m	0.4285714285714286	0.3965014577259474	6
di	sg	-0.2571428571428572	0.6227871720116618	6
homa_ir	si	0.6190476190476191	0.1017330374542646	8
homa_ir	mi	-0.4285714285714286	0.2894032248467901	8
homa_ir	tau_m	-0.4761904761904762	0.23293553465009798	8
homa_ir	sg	0.19047619047619052	0.6514014957024814	8
homa_b	si	0.5714285714285715	0.13895995716070667	8
homa_b	mi	-0.19047619047619052	0.6514014957024814	8
homa_b	tau_m	-0.30952380952380953	0.4556448907375822	8
homa_b	sg	0.04761904761904763	0.9108491685195836	8
