gold	param	spearman_r	p_value	n
sspg	si	0.14285714285714288	0.7871720116618075	6
sspg	mi	0.4285714285714286	0.3965014577259474	6
sspg	tau_m	0.4285714285714286	0.3965014577259474	6
sspg	sg	0.2	0.704	6
di	si	-0.3	0.6238376647810728	5
di	mi	0.39999999999999997	0.5046315754686911	5
di	tau_m	0.39999999999999997	0.5046315754686911	5
di	sg	0.6	0.28475697986529375	5
homa_ir	si	0.2606060606060606	0.4670890543863402	10
homa_ir	mi	-0.16363636363636364	0.6514773427962428	10
homa_ir	tau_m	-0.28484848484848485	0.42503815489214547	10
homa_ir	sg	-0.43030303030303024	0.21449233253280775	10
homa_b	si	0.05454545454545454	0.8810361811618526	10
homa_b	mi	-0.07878787878787878	0.8287173946974606	10
homa_b	tau_m	-0.2121212121212121	0.5563057751029299	10
homa_b	sg	-0.309090909090909	0.3848412302612835	10
