target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,70.64612432811641,58.76150038846359,0.09884087155589005,0.314389681058221,0.24454957624839224,0.05340609926465713,63.0,,,,,,,
sspg,direct_si,full_sample,74.09548755036013,63.808819162925694,0.008692655475625921,0.09323441143497127,0.051863238556360054,0.6864478623312134,63.0,,,,,,,
di,direct_mi,full_sample,1.0671080456877655,0.813560094122897,0.0983372502154175,0.3135877073729237,0.36972409905815057,0.002861100785951045,63.0,,,,,,,
di,direct_si,full_sample,1.0924176288931566,0.8124259330096981,0.05505889925635521,0.23464632802655047,0.2209847948603215,0.0817753203594472,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.2650953606435116,0.9497843161854248,0.10370552464331884,0.32203342162469967,0.27718557898104595,0.021122164881720817,69.0,,,,,,,
homa_ir,direct_si,full_sample,1.2936615774109361,0.9805802131027013,0.06277135793172162,0.2505421280577661,0.20339973877117018,0.09368502799200477,69.0,,,,,,,
homa_b,direct_mi,full_sample,51.84256916781956,36.455359076458066,0.01218797174327546,0.11039914738473072,0.16423090975520646,0.17751108816963754,69.0,,,,,,,
homa_b,direct_si,full_sample,52.13547656688951,36.952472032786275,0.0009942818382912,0.03153223490796567,0.06846912678114725,0.5761524325938588,69.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,72.630228515835,6.117132982106248,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,76.15211768715076,5.6262516972175,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,63.910629746297104,5.840667177289781,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.07383411686561499,0.1867532846268833,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.17708544620832134,0.16342648243545105,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,0.14785263026708526,0.23298028186585487,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.32664742660623697,0.11625470085615391,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.07725604157991704,0.09475216739942295,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.4765446982604695,0.17432672884403877,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.22447385624087027,0.12736632912831092,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,-0.04166829609986942,0.19028917353096178,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.4764888595399855,0.19320781298879475,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.056542501349264,0.34446829309548477,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0973262969986768,0.32024712997183397,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0717543412390445,0.3295111227445672,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.24484743689377586,0.3916500886138332,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.3271121537997052,0.333600283622568,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,-0.25746045033910203,0.30397192244311105,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.3942664067638543,0.19924763376649343,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.2088721225523193,0.24457697745156587,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.3352946874563553,0.13299115145165075,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.35104895104895106,0.1536330373862886,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.15194805194805194,0.261039630097326,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.3462537462537463,0.18547911094327252,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,69.0,rmse,1.2731675716476585,0.2204120313010954,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,69.0,rmse,1.2958723926934073,0.2752066688914827,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,69.0,rmse,1.1622627339609903,0.23419921568457466,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,69.0,r2,0.009633262354063499,0.16554973194644967,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,69.0,r2,-0.011288194531112915,0.14919942736138114,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,69.0,r2,0.17384700575660322,0.17426996867843905,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,69.0,pearson_r,0.35328068650314437,0.08820138455726804,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,69.0,pearson_r,0.27632780629793585,0.2228210944990051,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,69.0,pearson_r,0.5198831058783298,0.09814315885007296,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,69.0,spearman_r,0.24483516483516485,0.1570504608101212,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,69.0,spearman_r,0.19032967032967033,0.2574998930174479,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,69.0,spearman_r,0.5059340659340659,0.09185025326845872,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,69.0,rmse,49.5326520084396,21.805164744455706,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,69.0,rmse,50.139664851765815,21.78474478304044,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,69.0,rmse,53.83085042281326,19.43616667413718,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,69.0,r2,-0.19941709662480606,0.10527360805481081,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,69.0,r2,-0.23344504197621957,0.11974532062454434,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,69.0,r2,-0.5073929004021013,0.29579031340283557,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,69.0,pearson_r,-0.01239464573172816,0.20629087120747427,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,69.0,pearson_r,-0.19274287237249063,0.21244660881382726,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,69.0,pearson_r,-0.09375235158840739,0.3192968662749695,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,69.0,spearman_r,0.16659340659340663,0.25199659190761203,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,69.0,spearman_r,-0.11670329670329668,0.29894020429388174,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,69.0,spearman_r,-0.05472527472527473,0.25860988491505094,,,,
sspg,ridge_6d,5fold_subject,,,,,,,63.0,rmse,64.94256721589582,6.244590179201819,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,63.0,mae,53.95410197956071,5.281302535281245,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,63.0,r2,0.12906617944916327,0.20566259807512707,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,63.0,pearson_r,0.4846234633764105,0.17336613960686326,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,63.0,spearman_r,0.5017020218373828,0.18519640128164916,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,rmse,1.0335563128402685,0.3348713396821558,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,mae,0.8011808407773838,0.21565498686093276,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,r2,-0.17669163341975544,0.3245917661103182,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,pearson_r,0.4100380653029546,0.15842659102498757,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,spearman_r,0.4852147852147852,0.15280326885644363,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,69.0,rmse,1.1723149322245026,0.23738702926894606,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,69.0,mae,0.8439758925864729,0.16554660617189532,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,69.0,r2,0.16367676263340242,0.1587897589390603,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,69.0,pearson_r,0.532204801202005,0.12584426872507457,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,69.0,spearman_r,0.5685714285714285,0.082009539355765,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,69.0,rmse,50.36355556679924,21.31360378378509,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,69.0,mae,38.993042012082796,13.7817446717428,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,69.0,r2,-0.25738549001120803,0.1852697491168249,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,69.0,pearson_r,0.014769932959074694,0.3992731749310447,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,69.0,spearman_r,0.06681318681318679,0.43221466397956276,5.0,,,
sspg,ridge_6d,leave_one_dataset_out,61.16802323210553,48.556826631451386,0.34177250519865354,0.5855633383459472,0.6128322742752724,0.00019249968831486135,32.0,,,,,D1,0.00043025058644284955,
sspg,ridge_6d,leave_one_dataset_out,70.55731006305972,59.081255018868205,0.060168366835784304,0.3163011911141964,0.34257485807728794,0.05922357441920464,31.0,,,,,D2,0.08299926695856731,
di,ridge_6d,leave_one_dataset_out,0.8630372497997972,0.7063842696627219,0.19327438542422104,0.4675371712095904,0.5293740284354075,0.0018362087842086054,32.0,,,,,D1,0.0069728671290069325,
di,ridge_6d,leave_one_dataset_out,1.2191659376567767,0.8856435271093271,0.06008896635324468,0.25829976756896567,0.32217741935483873,0.07713352725830029,31.0,,,,,D2,0.1606189600804111,
homa_ir,ridge_6d,leave_one_dataset_out,1.124373586977489,0.8509134089368819,0.10796327533789662,0.34694722934230426,0.3885986635329169,0.027949925586077784,32.0,,,,,D1,0.051720146686591986,
homa_ir,ridge_6d,leave_one_dataset_out,1.3942754961582484,1.095896219323705,0.06367782262366406,0.4091785852455871,0.4985775248933143,0.0016852727166808805,37.0,,,,,D2,0.01191380269840906,
