gold	param	spearman_r	p_value	n
sspg	si	0.6571428571428573	0.15617492711370237	6
sspg	mi	-0.48571428571428577	0.3287230320699709	6
sspg	tau_m	-0.3714285714285715	0.46847813411078715	6
sspg	sg	-0.8285714285714287	0.04156268221574334	6
di	si	0.14285714285714288	0.7871720116618075	6
di	mi	-0.3142857142857143	0.5440932944606414	6
di	tau_m	-0.5428571428571429	0.26570262390670557	6
di	sg	0.3142857142857143	0.5440932944606414	6
homa_ir	si	0.2380952380952381	0.5701563208157683	8
homa_ir	mi	-0.3571428571428572	0.38512064355625636	8
homa_ir	tau_m	-0.1666666666666667	0.693238811728395	8
homa_ir	sg	-0.1666666666666667	0.693238811728395	8
homa_b	si	0.2380952380952381	0.5701563208157683	8
homa_b	mi	-0.2380952380952381	0.5701563208157683	8
homa_b	tau_m	-0.261904761904762	0.530922861565801	8
homa_b	sg	0.04761904761904763	0.9108491685195836	8
