gold	param	spearman_r	p_value	n
sspg	si	-0.5714285714285715	0.1802019889115274	7
sspg	mi	0.21428571428571433	0.6445115810207203	7
sspg	tau_m	-0.07142857142857144	0.8790481931481541	7
sspg	sg	0.3571428571428572	0.4316113520383278	7
di	si	0.6571428571428573	0.15617492711370237	6
di	mi	0.3142857142857143	0.5440932944606414	6
di	tau_m	0.48571428571428577	0.3287230320699709	6
di	sg	-0.4285714285714286	0.3965014577259474	6
homa_ir	si	-0.7666666666666667	0.01594401657897401	9
homa_ir	mi	0.5333333333333333	0.13922686754397814	9
homa_ir	tau_m	-0.45	0.22421610749233667	9
homa_ir	sg	0.8333333333333333	0.00526569102916175	9
homa_b	si	0.31666666666666665	0.4063970144863861	9
homa_b	mi	0.7333333333333334	0.02455415007146968	9
homa_b	tau_m	0.31666666666666665	0.4063970144863861	9
homa_b	sg	0.21666666666666667	0.5755148957119259	9
