gold	param	spearman_r	p_value	n
sspg	si	0.28571428571428575	0.5345092286010406	7
sspg	mi	0.28571428571428575	0.5345092286010406	7
sspg	tau_m	-0.1785714285714286	0.7016579425162729	7
sspg	sg	-0.3214285714285715	0.4820720382996776	7
di	si	0.48571428571428577	0.3287230320699709	6
di	mi	-0.6571428571428573	0.15617492711370237	6
di	tau_m	-0.6	0.20799999999999982	6
di	sg	-0.3142857142857143	0.5440932944606414	6
homa_ir	si	-0.4761904761904762	0.23293553465009798	8
homa_ir	mi	0.7857142857142858	0.020815127253525276	8
homa_ir	tau_m	0.7142857142857144	0.04652823228416724	8
homa_ir	sg	0.3571428571428572	0.38512064355625636	8
homa_b	si	0.6428571428571429	0.08555889101267318	8
homa_b	mi	0.0	1.0	8
homa_b	tau_m	-0.4285714285714286	0.2894032248467901	8
homa_b	sg	-0.7619047619047621	0.028004939153071805	8
