gold	param	spearman_r	p_value	n
sspg	si	0.3	0.6238376647810728	5
sspg	mi	0.3	0.6238376647810728	5
sspg	tau_m	-0.3	0.6238376647810728	5
sspg	sg	0.3	0.6238376647810728	5
di	si	-0.39999999999999997	0.5046315754686911	5
di	mi	-0.39999999999999997	0.5046315754686911	5
di	tau_m	0.39999999999999997	0.5046315754686911	5
di	sg	-0.39999999999999997	0.5046315754686911	5
homa_ir	si	-0.7619047619047621	0.028004939153071805	8
homa_ir	mi	-0.7619047619047621	0.028004939153071805	8
homa_ir	tau_m	0.6904761904761906	0.057990318164572716	8
homa_ir	sg	-0.7857142857142858	0.020815127253525276	8
homa_b	si	-0.4523809523809524	0.260404767436885	8
homa_b	mi	-0.4523809523809524	0.260404767436885	8
homa_b	tau_m	0.5000000000000001	0.20703124999999997	8
homa_b	sg	-0.3333333333333334	0.4197530864197531	8
