gold	param	spearman_r	p_value	n
sspg	si	0.7714285714285715	0.07239650145772594	6
sspg	mi	0.6	0.20799999999999982	6
sspg	tau_m	0.6	0.20799999999999982	6
sspg	sg	-0.028571428571428574	0.9571545189504373	6
di	si	-0.49999999999999994	0.39100221895577053	5
di	mi	-0.09999999999999999	0.8728885715695383	5
di	tau_m	-0.6	0.28475697986529375	5
di	sg	0.7	0.18812040437418728	5
homa_ir	si	0.32121212121212117	0.3654683104386702	10
homa_ir	mi	0.2727272727272727	0.44583834154275137	10
homa_ir	tau_m	0.43030303030303024	0.21449233253280775	10
homa_ir	sg	-0.4666666666666666	0.17393859716506632	10
homa_b	si	0.22424242424242422	0.5334005612725947	10
homa_b	mi	0.19999999999999998	0.5795840000000001	10
homa_b	tau_m	0.16363636363636364	0.6514773427962428	10
homa_b	sg	-0.309090909090909	0.3848412302612835	10
