gold	param	spearman_r	p_value	n
sspg	si	0.14285714285714288	0.7871720116618075	6
sspg	mi	0.4285714285714286	0.3965014577259474	6
sspg	tau_m	-0.028571428571428574	0.9571545189504373	6
sspg	sg	-0.08571428571428573	0.8717434402332361	6
di	si	0.0	1.0	5
di	mi	0.39999999999999997	0.5046315754686911	5
di	tau_m	0.09999999999999999	0.8728885715695383	5
di	sg	-0.09999999999999999	0.8728885715695383	5
homa_ir	si	-0.2727272727272727	0.44583834154275137	10
homa_ir	mi	-0.29696969696969694	0.4047016712701569	10
homa_ir	tau_m	-0.1515151515151515	0.6760651759978538	10
homa_ir	sg	0.309090909090909	0.3848412302612835	10
homa_b	si	-0.13939393939393938	0.7009318849100584	10
homa_b	mi	-0.19999999999999998	0.5795840000000001	10
homa_b	tau_m	0.05454545454545454	0.8810361811618526	10
homa_b	sg	0.41818181818181815	0.22911284098281892	10
