gold	param	spearman_r	p_value	n
sspg	si	0.3714285714285715	0.46847813411078715	6
sspg	mi	0.4285714285714286	0.3965014577259474	6
sspg	tau_m	-0.3714285714285715	0.46847813411078715	6
sspg	sg	-0.14285714285714288	0.7871720116618075	6
di	si	-0.09999999999999999	0.8728885715695383	5
di	mi	-0.3	0.6238376647810728	5
di	tau_m	-0.3	0.6238376647810728	5
di	sg	0.19999999999999998	0.747060078104662	5
homa_ir	si	0.32121212121212117	0.3654683104386702	10
homa_ir	mi	0.29696969696969694	0.4047016712701569	10
homa_ir	tau_m	0.12727272727272726	0.7260570147627894	10
homa_ir	sg	-0.12727272727272726	0.7260570147627894	10
homa_b	si	0.309090909090909	0.3848412302612835	10
homa_b	mi	0.2727272727272727	0.44583834154275137	10
homa_b	tau_m	-0.06666666666666665	0.8548130882487426	10
homa_b	sg	0.01818181818181818	0.9602404181286243	10
